Unnamed: 0,dates,price,Dates,derivative_prices,derivative_prices_ems,derivative_prices_r2,derivative_prices_r3,derivative_prices_av,derivative_prices_garch
19,2023-09-04,96.46,,,,,,,
20,2023-09-05,96.03,2023-09-05,1026.2196578536689,1028.3374718030427,1023.1369565826212,1023.1393992315363,1024.6519891560206,1045.0122331288758
21,2023-09-06,95.83,2023-09-06,1020.6893465951574,1023.1933571955868,1020.951008244534,1020.9048611493008,1020.879086048826,1042.4602543176345
22,2023-09-07,95.81,2023-09-07,1021.433418586228,1023.9299057176428,1021.0166687271328,1018.9680300893664,1018.128675967191,1042.3057396293264
23,2023-09-08,95.8,2023-09-08,1016.559401940393,1020.2729069967874,1017.1846380491336,1016.978204993394,1016.30889032243,1041.4877648281008
24,2023-09-11,96.29,2023-09-11,1020.7949688217892,1024.207548648643,1019.8795853862448,1020.08089970151,1019.3673311778452,1041.8219421080375
25,2023-09-12,96.39,2023-09-12,1022.3338512672252,1025.785448840678,1022.4735656890604,1021.466419985186,1023.1439394463508,1043.966170474049
26,2023-09-13,96.73,2023-09-13,1026.9320168083952,1029.352412880546,1027.8338668609329,1026.423569836537,1026.6411112681408,1049.9468758056844
27,2023-09-14,97.19,2023-09-14,1029.7142925486216,1032.884628862231,1027.396998349335,1029.336047923607,1026.5465127657635,1038.760112239996
28,2023-09-15,96.82,2023-09-15,1029.7445533768814,1032.7902650719782,1030.0047224114742,1031.4864908498578,1033.040585966851,1048.7948811547922
29,2023-09-18,96.44,2023-09-18,1030.396390553004,1032.2607993118104,1028.94309920276,1029.0888628018647,1028.9085528509236,1045.7665632019584
30,2023-09-19,96.75,2023-09-19,1005.8167604238952,1009.2995343413412,1004.72356673429,1003.4352328877302,1003.9814523032488,1020.4703317069432
31,2023-09-20,96.97,2023-09-20,1004.9694557391264,1007.8483935435814,1003.840585014194,1002.4707202409498,1003.494818446532,1025.163887032299
32,2023-09-21,96.49,2023-09-21,1003.9007942275856,1008.182069067534,1006.6135329543796,1003.9318642488236,1004.060407700498,1027.7154221658752
33,2023-09-22,95.39,2023-09-22,1000.812358206132,1003.736974398134,999.3518617101475,1000.5822524294338,1000.3213531909884,1028.475604508998
34,2023-09-25,95.3,2023-09-25,997.9478358643732,1000.7864236289925,996.9337548671792,996.4533358523038,994.2841769880816,1016.0040193758124
