dates,price,Dates,derivative_prices,derivative_prices_ems,derivative_prices_r2,derivative_prices_r3,derivative_prices_av,derivative_prices_sep,derivative_prices_call
2023-08-28,95.33,2023-08-28,992.1381706803314,995.4340957264026,991.7325021655577,992.0894988556801,995.0742880733603,982.3798158927008,992.1381706803314
2023-08-29,95.55,2023-08-29,998.600627327227,1001.891091789182,998.9605658366664,999.0189779609673,994.6401093609848,985.18717239215,998.600627327227
2023-08-30,95.74,2023-08-30,999.5465149629966,1002.6528787478504,1001.6534631606395,1001.3903475862384,1001.4881395336612,992.3031623435655,999.5465149629966
2023-08-31,96.0,2023-08-31,1001.6593377282068,1005.4772591796071,1002.916061251004,1001.7450122310808,1001.3528069448643,988.9563441484651,1001.6593377282068
2023-09-01,96.28,2023-09-01,1000.642255740872,1002.9783825438625,1001.5664640825582,999.7526946132846,1000.4374064195976,989.2854987988204,1000.642255740872
2023-09-04,96.46,,,,,,,,
2023-09-05,96.03,2023-09-05,1003.3195445756569,1005.4635063602113,1004.2692347564648,1002.1401979086115,1002.9046762096439,992.9410705812353,1003.3195445756569
2023-09-06,95.83,2023-09-06,1001.808251170676,1004.183742606767,999.7100696897934,1000.8429158434374,999.5431669504311,991.1639341650798,1001.808251170676
2023-09-07,95.81,2023-09-07,995.9072214058438,998.2095008145409,997.6604320783167,995.1352987330158,998.4973177175638,987.0915317881675,995.9072214058438
2023-09-08,95.8,2023-09-08,994.7195308721281,998.0939601055943,995.0433765082785,994.3289107914503,994.3406417584383,984.1290297412855,994.7195308721281
2023-09-11,96.29,2023-09-11,997.7292808240688,1001.1698926750728,998.4364615945199,998.8936272395523,997.3534563762926,987.2419979935804,997.7292808240688
2023-09-12,96.39,2023-09-12,999.7977576452241,1002.4160449393439,1000.3223039762495,1000.9428221168023,998.737496028709,990.594383954451,999.7977576452241
2023-09-13,96.73,2023-09-13,1005.9591193913913,1007.7081458034903,1003.8847168756961,1002.710333536281,1002.8233347122082,995.7465987987399,1005.9591193913913
2023-09-14,97.19,2023-09-14,1003.8275977385091,1006.5232520074297,1002.293014536084,1004.1044185816214,1002.9106614790294,996.0792794354903,1003.8275977385091
2023-09-15,96.82,2023-09-15,1006.6746107165592,1009.3454774132858,1004.0507366133099,1007.1183824669581,1007.0928497263405,1000.8423023312931,1006.6746107165592
2023-09-18,96.44,2023-09-18,1004.3415706370764,1007.8904663648333,1003.4395522159434,1001.772753997622,1003.3120812063324,994.8977322326125,1004.3415706370764
2023-09-19,96.75,2023-09-19,1002.4529691829732,1006.213855400348,1003.5796942484743,1004.2780332893354,1002.4702419049072,995.4334854498279,1002.4529691829732
2023-09-20,96.97,2023-09-20,1001.9261901682701,1004.8913336801041,1001.9254479243726,1001.6046338675274,1002.1464353318713,993.6352097642297,1001.9261901682701
2023-09-21,96.49,2023-09-21,1001.0480846376477,1003.6473837428377,1001.9828255843166,1001.9409816293139,1001.5971545785118,992.6207511765897,1001.0480846376477
2023-09-22,95.39,2023-09-22,994.3479335910702,998.426872668147,995.1689033388923,995.0497569951089,995.4617133753063,988.4280972038491,994.3479335910702
2023-09-25,95.3,2023-09-25,988.7261264204218,994.1867367614831,993.3517569858282,990.6740999487077,990.2567584211407,981.6574432149366,988.7261264204218
