,dates,price,Dates,derivative_prices,derivative_prices_ems,derivative_prices_r2,derivative_prices_r3,derivative_prices_av,derivative_prices_sep,derivative_prices_call,derivative_prices_garch
53,2023-10-20,93.96,2023-10-20,990.8471647100057,996.1740174462533,991.8205158211143,991.4392957741192,992.2319742216184,982.7897207564803,990.8471647100057,996.6965273325271
54,2023-10-23,93.41,2023-10-23,980.8768614910839,987.0855162742613,982.7740079122352,982.8161160763733,984.335532390843,973.3938539139403,980.8768614910839,994.2811581535294
55,2023-10-24,92.44,2023-10-24,971.0607133110964,979.6800630737534,972.3106408929286,970.899046673126,969.2498840441077,955.9123403371007,971.0607133110964,959.1548270986287
56,2023-10-25,92.33,2023-10-25,968.5202199187974,975.5383889919426,966.1833172065308,964.5320516584477,963.3062856808668,953.898898464454,968.5202199187974,937.1308830247166
57,2023-10-26,93.17,2023-10-26,969.1458987432717,977.2239654757692,968.2284423799346,968.4725532429823,964.6703661523821,956.4203120067249,969.1458987432717,964.7648681882094
58,2023-10-27,92.19,2023-10-27,979.0572243232804,986.1850349318183,977.1215322174032,978.5292854849866,979.2765580173315,968.1638782576933,979.0572243232804,989.2236055765711
59,2023-10-30,91.6,2023-10-30,959.3452342548749,966.9118537203484,957.0785016281585,956.3102773499115,957.4039542411124,948.7809740522366,959.3452342548749,950.1450399247414
60,2023-10-31,93.3,2023-10-31,971.3549899361655,979.9970470037673,970.5249195710178,971.8843247749909,967.3896169504432,960.5944726051123,971.3549899361655,917.4814306137964
61,2023-11-01,94.11,2023-11-01,979.8879996969306,988.3042275648465,983.9743300841029,980.984718234962,981.7669594469277,971.9948019709182,979.8879996969306,935.8516771488371
62,2023-11-02,95.51,2023-11-02,984.6180704427289,989.9496553152462,984.4309484038978,982.3157041434532,982.5023351759123,974.813770694185,984.6180704427289,936.6701920424129
63,2023-11-03,97.06,2023-11-03,998.0808911119574,1003.128573782855,1000.0281842487688,997.5335951071128,997.333248152712,989.2384270499515,998.0808911119574,982.5500571186834
64,2023-11-06,96.68,2023-11-06,1005.9620407408944,1009.5835421827325,1006.0643829462726,1003.8664901087877,1004.6098252687299,1000.7666721817947,1005.9620407408944,929.8049017374564
65,2023-11-07,96.85,2023-11-07,1005.719094914768,1010.0142700678822,1005.3022309527599,1004.9509602799911,1005.5184194917771,1000.3524922829348,1005.719094914768,934.8073455193417
66,2023-11-08,96.68,2023-11-08,1004.4951511022724,1009.0905190160229,1003.9231129946153,1003.4309049704283,1002.3952970495327,999.5019360422275,1004.4951511022724,967.6960775951287
